age,workclass,education,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,salary,country,country_target
31.6 - 46.2,State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,< 20.6,United-States,<=50K,United-States,0
31.6 - 46.2,Private,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Private,11th,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,Black,Female,20.6 - 40.2,Cuba,<=50K,Cuba,0
31.6 - 46.2,Private,Masters,Married-civ-spouse,Exec-managerial,Wife,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Private,9th,Married-spouse-absent,Other-service,Not-in-family,Black,Female,< 20.6,Jamaica,<=50K,Jamaica,0
46.2 - 60.8,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,40.2 - 59.8,United-States,>50K,United-States,0
< 31.6,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,40.2 - 59.8,United-States,>50K,United-States,0
31.6 - 46.2,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,20.6 - 40.2,United-States,>50K,United-States,0
31.6 - 46.2,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,≥ 79.4,United-States,>50K,United-States,0
< 31.6,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,20.6 - 40.2,India,>50K,India,0
< 31.6,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,Assoc-acdm,Never-married,Sales,Not-in-family,Black,Male,40.2 - 59.8,United-States,<=50K,United-States,0
31.6 - 46.2,Private,7th-8th,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,40.2 - 59.8,Mexico,<=50K,Mexico,0
< 31.6,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,11th,Married-civ-spouse,Sales,Husband,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
31.6 - 46.2,Self-emp-not-inc,Masters,Divorced,Exec-managerial,Unmarried,White,Female,40.2 - 59.8,United-States,>50K,United-States,0
31.6 - 46.2,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,59.8 - 79.4,United-States,>50K,United-States,0
46.2 - 60.8,Private,HS-grad,Separated,Other-service,Unmarried,Black,Female,< 20.6,United-States,<=50K,United-States,0
31.6 - 46.2,Federal-gov,9th,Married-civ-spouse,Farming-fishing,Husband,Black,Male,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,11th,Married-civ-spouse,Transport-moving,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Private,HS-grad,Divorced,Tech-support,Unmarried,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Local-gov,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,20.6 - 40.2,United-States,>50K,United-States,0
< 31.6,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,≥ 79.4,United-States,<=50K,United-States,0
46.2 - 60.8,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Local-gov,Assoc-acdm,Never-married,Protective-serv,Not-in-family,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
< 31.6,Private,Some-college,Never-married,Sales,Own-child,Black,Male,40.2 - 59.8,United-States,<=50K,United-States,0
31.6 - 46.2,Private,Bachelors,Divorced,Exec-managerial,Own-child,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Own-child,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,State-gov,Some-college,Married-civ-spouse,Other-service,Husband,Black,Male,< 20.6,United-States,<=50K,United-States,0
46.2 - 60.8,Private,11th,Never-married,Machine-op-inspct,Unmarried,White,Male,20.6 - 40.2,Puerto-Rico,<=50K,Puerto-Rico,0
< 31.6,Private,Some-college,Never-married,Machine-op-inspct,Own-child,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,HS-grad,Married-AF-spouse,Adm-clerical,Wife,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,9th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
46.2 - 60.8,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
46.2 - 60.8,Private,HS-grad,Separated,Adm-clerical,Unmarried,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Black,Male,20.6 - 40.2,United-States,>50K,United-States,0
46.2 - 60.8,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,Masters,Divorced,Exec-managerial,Unmarried,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,State-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
< 31.6,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,Other,Female,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Private,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,Female,59.8 - 79.4,Honduras,>50K,Honduras,0
46.2 - 60.8,Federal-gov,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,40.2 - 59.8,United-States,>50K,United-States,0
46.2 - 60.8,Self-emp-inc,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,59.8 - 79.4,United-States,<=50K,United-States,0
31.6 - 46.2,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,20.6 - 40.2,United-States,>50K,United-States,0
31.6 - 46.2,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,20.6 - 40.2,Mexico,<=50K,Mexico,0
31.6 - 46.2,Private,Assoc-voc,Married-civ-spouse,Other-service,Husband,White,Male,20.6 - 40.2,Puerto-Rico,<=50K,Puerto-Rico,0
31.6 - 46.2,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
< 31.6,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
31.6 - 46.2,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,40.2 - 59.8,United-States,>50K,United-States,0
< 31.6,Private,Some-college,Divorced,Tech-support,Not-in-family,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
31.6 - 46.2,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,20.6 - 40.2,United-States,>50K,United-States,0
46.2 - 60.8,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,40.2 - 59.8,United-States,>50K,United-States,0
< 31.6,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,Bachelors,Separated,Sales,Own-child,Black,Female,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,59.8 - 79.4,United-States,>50K,United-States,0
< 31.6,Private,Some-college,Never-married,Machine-op-inspct,Not-in-family,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
≥ 75.4,Private,Some-college,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,< 20.6,United-States,<=50K,United-States,0
< 31.6,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,20.6 - 40.2,Mexico,<=50K,Mexico,0
31.6 - 46.2,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,11th,Never-married,Other-service,Own-child,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Local-gov,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
< 31.6,Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Private,Bachelors,Married-civ-spouse,Other-service,Husband,White,Male,20.6 - 40.2,Cuba,<=50K,Cuba,0
31.6 - 46.2,Private,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,40.2 - 59.8,United-States,<=50K,United-States,0
31.6 - 46.2,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Female,20.6 - 40.2,United-States,>50K,United-States,0
46.2 - 60.8,Private,HS-grad,Divorced,Sales,Own-child,White,Female,20.6 - 40.2,United-States,<=50K,United-States,0
46.2 - 60.8,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,20.6 - 40.2,United-States,>50K,United-States,0
